% Model:              wire_3D.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 25 2026, 17:42
% Dimension:          1
% Nodes:              752
% Expressions:        1
% Description:        Line graph
% x-coordinate (nm)       Electric field, z-component
7.815974717614078         -1.1731348081936293E9
7.93243471667125          -1.1788659338437493E9
7.934274360115695         -1.1789564647369046E9
8.012802483738497         -1.1828209207492175E9
8.015974717614078         -1.1829770298946726E9
8.13243471667125          -1.1887081555447922E9
8.134274360115695         -1.1887986864379478E9
8.212802483738496         -1.1909900842245612E9
8.215974717614076         -1.1929023388052857E9
8.262584250860202         -1.194504914615068E9
8.272056684584388         -1.1941285961644535E9
8.280802254838493         -1.1937811543618932E9
8.286429942841728         -1.1935575789966192E9
8.328496733625714         -1.1918863601746042E9
8.328923869113687         -1.1918693910439968E9
8.32904251343829          -1.1918646775722842E9
8.329584830568445         -1.1918431325345354E9
8.381292125430098         -1.1897889182054229E9
8.38602834229219          -1.189600758980116E9
8.390401127419244         -1.189427038078836E9
8.399700240218115         -1.1890576052780952E9
8.4428322445419           -1.1873440679220552E9
8.442959207273377         -1.1873390239787788E9
8.443014171146093         -1.1873368403879485E9
8.443194943522812         -1.187329658708699E9
8.499999999999996         -1.1879299380160358E9
8.599999999999994         -1.1879925232364538E9
8.699999999999996         -1.1866266003467429E9
8.799999999999995         -1.185260677457031E9
8.899999999999997         -1.1838947545673199E9
8.999999999999996         -1.18168824889882E9
9.099999999999996         -1.1797750300430644E9
9.199999999999994         -1.1787023939660985E9
9.299999999999995         -1.177629757889133E9
9.399999999999995         -1.1765571218121676E9
9.499999999999996         -1.175269962940891E9
9.599999999999998         -1.1689008578344405E9
9.699999999999996         -1.1649556531623034E9
9.799999999999997         -1.161010448490166E9
9.899999999999995         -1.1570652438180285E9
9.999999999999996         -1.1582682296668975E9
10.099999999999996        -1.157929534206E9
10.199999999999996        -1.1524426482240944E9
10.299999999999995        -1.1469557622421887E9
10.399999999999997        -1.1414688762602828E9
10.499999999999995        -1.1305327722069E9
10.599999999999996        -1.1142815128993225E9
10.699999999999996        -1.1034794716632218E9
10.799999999999997        -1.0926774304271212E9
10.899999999999995        -1.0818753891910198E9
10.999999999999996        -1.0690879480467279E9
11.099999999999996        -1.0543080202621375E9
11.199999999999996        -1.0415134923857381E9
11.299999999999994        -1.0287189645093393E9
11.399999999999995        -1.0159244366329398E9
11.499999999999996        -1.0032823204174204E9
11.573738782743366        -9.902331834030616E8
11.629984754032158        -9.80047139618328E8
11.651360481969231        -9.761760339069586E8
11.689960920829233        -9.691855641661283E8
11.712055604055447        -9.651842569507811E8
11.739966525660947        -9.601296394727359E8
11.785642613637936        -9.51857782459899E8
11.889954262096495        -9.329671313766179E8
11.9241112081109          -9.267813701623765E8
12.069882762487714        -9.003824050200171E8
12.070155568479946        -9.003330003476833E8
12.075281770593799        -8.994046544060158E8
12.136166812166355        -8.883784833739768E8
12.149923770160829        -8.85411774000118E8
12.174629482654591        -8.805071659931583E8
12.194660469223235        -8.769159955300596E8
12.278110343263185        -8.619550388255775E8
12.331038344509755        -8.524660666226277E8
12.344075017057207        -8.557166837020847E8
12.345094727959673        -8.609394628441054E8
12.34617510814023         -8.605526804085541E8
12.37689328208342         -8.516615605740838E8
12.37811949127921         -8.541862764495963E8
12.429886377594528        -8.441627072049124E8
12.469817351267276        -8.358746151704627E8
12.47196817511942         -8.354281891408212E8
12.472154318217179        -8.353895531902322E8
12.500000000000007        -8.296098901329408E8
