% Model:              wire_3D.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 25 2026, 17:42
% Dimension:          1
% Nodes:              752
% Expressions:        1
% Description:        Line graph
% x-coordinate (nm)       Electric field, z-component
-7.755316995222298        -1.0862243257545474E9
-7.745712722700876        -1.0857493202509532E9
-7.665371543811496        -1.0817758280314698E9
-7.600745552296261        -1.0785795732837546E9
-7.5                      -1.0732389851738585E9
-7.463650904739268        -1.0688769184394397E9
-7.397738066985721        -1.0616161262029307E9
-7.282916140896564        -1.0489676319498622E9
-7.279988687588819        -1.0486451510648928E9
-7.233980391986623        -1.0435769930715668E9
-7.208755473164285        -1.0407982795311694E9
-7.207463549171076        -1.0406559644371794E9
-7.193214200957166        -1.0390862921182038E9
-7.1893194881636955       -1.038657260363874E9
-7.1565613313270475       -1.0350487042927303E9
-7.057633122926409        -1.0241510219593911E9
-6.9886903349286085       -1.0164946607057874E9
-6.978034065594051        -1.0148933050482371E9
-6.9398108662749785       -1.0093710305018574E9
-6.9242258865735415       -1.0071193996011401E9
-6.788690334928608        -9.875379794083811E8
-6.778034065594051        -9.859984210785208E8
-6.739810866274979        -9.804761465321409E8
-6.724225886573542        -9.785120659226027E8
-6.682908265471673        -9.710490327461667E8
-6.650609005124275        -9.649901623032734E8
-6.649728922034729        -9.648250715438817E8
-6.634535531944125        -9.619750130237417E8
-6.633697511232152        -9.618178125532761E8
-6.627720179571242        -9.606965522600641E8
-6.621938843647782        -9.596120579103377E8
-6.616658233801266        -9.586214924739966E8
-6.616015675718187        -9.585009579436225E8
-6.595198319322749        -9.545959253203702E8
-6.593440314370307        -9.542661492162042E8
-6.5609694218238905       -9.481750830745078E8
-6.544845177314707        -9.451504098336991E8
-6.499999999999999        -9.36325301569965E8
-6.399999999999999        -9.103392027886801E8
-6.3                      -8.845595073417524E8
-6.199999999999999        -8.587798118948243E8
-6.1                      -8.330001164478964E8
-6                        -8.152750206598898E8
-5.900000000000001        -7.946167655604999E8
-5.8                      -7.659039108021874E8
-5.7                      -7.371910560438755E8
-5.6                      -7.084782012855625E8
-5.500000000000001        -6.880010349589378E8
