% Model,inverter_godo.mph
% Version,COMSOL 6.3.0.420
% Date,"Jan 29 2026, 10:56"
% Dimension,3
% Nodes,21605
% Expressions,1
% Description,Slice
% x,y,z,Electric field; z-component
-9.003261040127171,-10.009391587390832,0.5000000000000009,2251222.668300556
-8.672693864968755,-10.504131920436183,0.5000000000000009,1822283.1841625911
-9.132330415270324,-10.5050890628077,0.5000000000000009,2214012.7341273115
-8.513992420326424,-10.730781283750698,0.5000000000000009,1611357.4574302144
-8.162151246224013,-11.210621983846242,0.5000000000000009,1175244.808402999
-8.636167399788715,-11.222175657605248,0.5000000000000009,1702275.0074327462
-9.693233457918403,-10.101058657109032,0.5000000000000009,2747152.937867451
-9.4354068690023,-10.505765630936292,0.5000000000000009,2360170.791334807
-9.805852981597225,-10.506559116429095,0.5000000000000009,2489736.6647646287
-9.223698482968235,-10.837188293178064,0.5000000000000009,2141191.7258038404
-8.948768583736399,-11.229829247124353,0.5000000000000009,1846598.8722588024
-9.330740157385865,-11.239156054747284,0.500000000000001,1975286.0674872925
-8.722994220290989,-11.551488286071244,0.500000000000001,1629426.6029340383
-8.43096614729386,-11.932066785694563,0.500000000000001,1337802.7320603337
-8.82446036336014,-11.949924922164463,0.500000000000001,1465602.490403362
-9.000232620358455,-10.702236153380467,0.5000000000000009,2092378.1300971324
-8.495584904720321,-11.413412324519173,0.5000000000000009,1581490.7521114093
-9.473710294499172,-9.969229598393898,0.5000000000000009,2697328.1570529565
-8.108836213300213,-11.917433171560795,0.5000000000000009,1366750.304888757
-8.19112066972694,-12.243958635860603,0.5000000000000009,1316762.0999638233
-9.49125945701309,-10.998916316123141,0.500000000000001,2164395.3498270474
-8.995272131082451,-11.716971975660893,0.500000000000001,1652652.4951015473
-8.468113241434112,-12.413196364194523,0.5000000000000009,1144855.5938460275
-9.152067487531006,-9.775812082391106,0.5000000000000009,2552222.788135515
-7.993554804343187,-11.430341205475544,0.5000000000000009,1171319.4592988535
-9.956075220073352,-10.259029386075092,0.5000000000000009,2773815.1059846557
-8.287013600189,-12.638865719243082,0.5000000000000009,1092328.8095278493
-9.918272480947087,-9.76548032017105,0.5000000000000009,3213217.4103141325
-9.591555044198397,-9.76752807858335,0.5000000000000009,3022616.505702921
-10.245295198873873,-9.761070637395282,0.5000000000000009,3297774.636353781
-8.484222413069354,-10.293680507548295,0.5000000000000009,1853350.2236767798
-8.87923413573503,-9.702489833111914,0.5000000000000009,2447777.752951228
-8.019815836202763,-9.471526564220484,0.5000000000000009,2824341.0075010704
-7.902468208174664,-9.63911650165917,0.5000000000000009,2607915.899774691
-8.229888811318943,-10.00683194666776,0.5000000000000009,2201143.0713296365
-7.971606095937956,-10.998718218493211,0.5000000000000009,1081712.6744089
-8.392039214320938,-10.425331881936923,0.5000000000000009,1716304.2630809764
-8.495160884466529,-10.454285585568144,0.5000000000000009,1674078.70184811
-8.97948200564803,-9.729430818365671,0.5000000000000009,2404345.762626748
-8.435842013002482,-9.583330985641766,0.5000000000000009,2640165.4089685623
-7.935936393729735,-10.297270865526727,0.5000000000000009,1877232.6353883627
-7.979670767102541,-11.157310578135597,0.5000000000000009,901702.5638590055
-7.8922020203569305,-9.437231152917859,0.5000000000000009,2837374.1800812
-11.535733468308631,-2.225239206717044,0.5000000000000009,7927739.892497091
-11.258022247148707,-1.7775670476236514,0.5000000000000009,7683009.918378131
