% Model,inverter_godo_test.mph
% Version,COMSOL 6.3.0.420
% Date,"Jan 29 2026, 18:41"
% Dimension,3
% Nodes,22509
% Expressions,1
% Description,Slice
% x,y,z,Electric field; z-component
25.398430938709563,-5.550147129867977,0.500000000000001,7.584009712887263E7
25.409925729022913,-5.5072464795293765,0.500000000000001,7.62061348901922E7
25.428897898327318,-5.527095958400823,0.500000000000001,7.607579429077087E7
25.709336156008455,-5.981385817522554,0.5000000000000009,7.322866527928585E7
25.74493520622192,-5.85925297314423,0.5000000000000009,7.393946040692891E7
25.79930089285369,-5.91610609236533,0.5000000000000008,7.356367619690657E7
25.95302062004223,-5.143060133301158,0.5000000000000009,7.547481758795756E7
25.983245241113835,-5.019531343240936,0.5000000000000009,7.573743225606593E7
26.039998258948444,-5.07703271366096,0.500000000000001,7.536115557858096E7
26.017369143186244,-6.41167965088156,0.500000000000001,7.058855796592598E7
26.080487229322966,-6.21149330902134,0.500000000000001,7.165016410588297E7
26.17018471089581,-6.305251195253936,0.500000000000001,7.102663386495866E7
26.279459559213414,-5.578455315220143,0.5000000000000009,7.301181516403887E7
26.333724305039762,-5.375929403659536,0.5000000000000009,7.344388367103776E7
26.427376139212733,-5.470773803667574,0.5000000000000009,7.281953708387592E7
26.50480141489159,-4.735325546024245,0.5000000000000008,7.480739425010632E7
26.550216627448712,-4.530461097304712,0.5000000000000008,7.523984990220389E7
26.647821032242625,-4.626391518733574,0.5000000000000009,7.461463014116631E7
25.64147244283564,-4.730980595946638,0.5000000000000009,7.77773212851204E7
26.00369802516027,-5.212511795445276,0.500000000000001,7.507212468794051E7
26.213574410550546,-4.365073576643943,0.5000000000000009,7.687181728326432E7
25.2308129425289,-5.3189075390591265,0.5000000000000009,7.722307307355997E7
25.415182024135554,-5.574152234288266,0.500000000000001,7.569133853261513E7
25.653107507674594,-4.683427791945441,0.5000000000000009,7.794446668724878E7
25.757070744226176,-6.050043914111743,0.5000000000000008,7.279877551615459E7
26.243949376582925,-4.228054496016039,0.5000000000000009,7.705696840994084E7
25.335667935506926,-4.926807246211487,0.5000000000000009,7.839193742312166E7
25.623709158413487,-4.706719583018417,0.5000000000000009,7.799134971310028E7
26.159956519344842,-4.294828994973669,0.5000000000000009,7.719768025608107E7
